amount,hour,distance_from_home,merchant_risk,device_trust,international,velocity_24h,account_age_days,is_fraud
47.29,6,9.62,0.277,0.319,0,2,1146,0
52.93,6,35.19,0.549,0.271,0,5,2381,0
7.27,10,35.0,0.051,0.029,0,1,463,0
13.57,22,40.8,0.593,0.836,0,10,1486,1
183.52,21,74.57,0.079,0.923,0,10,569,1
158.03,3,27.36,0.684,0.71,0,4,946,1
79.65,11,22.4,0.7,0.665,0,6,1886,0
29.91,9,65.73,0.604,0.127,1,2,1364,0
14.93,14,23.05,0.413,0.621,0,8,1602,1
9.11,13,69.03,0.435,0.787,0,4,738,0
45.18,18,40.79,0.325,0.098,0,5,1692,1
69.2,15,46.6,0.061,0.218,1,10,2635,0
110.55,14,34.1,0.39,0.578,0,6,1257,0
87.04,13,56.93,0.915,0.99,0,10,2120,0
16.95,11,104.1,0.968,0.001,0,6,479,0
73.5,22,40.14,0.625,0.712,0,7,2262,1
21.05,17,21.85,0.924,0.84,1,3,580,1
47.12,15,48.27,0.975,0.136,1,7,1897,0
50.88,13,36.14,0.45,0.355,0,10,60,0
70.99,16,14.12,0.927,0.576,1,1,2357,0
23.18,22,3.76,0.73,0.526,0,5,1934,0
39.94,7,28.78,0.742,0.96,1,9,2404,1
13.55,0,28.47,0.513,0.469,0,7,1475,0
67.48,1,53.44,0.598,0.304,0,5,281,0
47.79,21,208.91,0.809,0.624,0,2,549,0
74.41,4,43.05,0.275,0.257,0,10,745,0
101.73,11,74.22,0.261,0.701,0,9,165,0
14.57,12,12.23,0.44,0.638,0,6,252,0
55.78,5,28.06,0.476,0.476,0,9,987,1
64.76,4,34.02,0.435,0.289,0,7,2809,1
99.45,3,112.39,0.637,0.956,0,5,1402,1
66.16,18,22.33,0.773,0.749,0,10,828,0
27.87,21,26.57,0.219,0.283,0,1,2567,0
72.95,3,4.07,0.605,0.376,0,10,786,0
53.63,14,48.61,0.076,0.453,0,7,2865,0
65.47,5,68.29,0.277,0.062,0,1,1087,0
19.82,15,174.76,0.201,0.393,0,2,619,0
28.23,3,109.68,0.715,0.103,1,10,1056,1
9.05,20,46.02,0.933,0.665,0,6,1632,0
53.16,15,29.27,0.404,0.728,0,2,2242,0
21.28,15,5.81,0.535,0.992,0,5,1670,1
9.6,10,3.77,0.46,0.767,0,3,2301,1
29.7,22,22.25,0.107,0.689,0,8,806,1
7.41,18,12.26,0.389,0.793,0,8,2217,0
12.59,10,69.76,0.043,0.118,0,9,1907,0
117.31,23,38.97,0.925,0.037,1,1,1960,0
45.97,20,6.29,0.172,0.05,0,2,1898,0
61.72,19,72.24,0.221,0.804,0,7,1358,1
66.1,10,81.47,0.793,0.764,0,6,288,1
14.96,22,20.79,0.165,0.244,0,3,439,0
49.85,5,0.71,0.487,0.006,0,2,2924,0
96.2,15,53.05,0.206,0.64,0,7,1009,0
43.27,5,56.84,0.612,0.088,0,5,1454,1
40.62,16,169.35,0.619,0.863,0,9,928,0
46.2,1,9.69,0.797,0.685,0,8,2067,1
47.43,20,20.38,0.21,0.251,0,8,207,1
8.93,5,69.27,0.485,0.116,0,8,2457,1
22.95,10,11.77,0.11,0.228,0,7,849,0
16.95,15,2.51,0.436,0.216,0,3,1616,0
33.9,11,167.01,0.202,0.127,0,1,1179,1
94.36,5,64.28,0.22,0.295,1,10,726,1
40.44,13,87.51,0.489,0.996,0,8,1173,1
16.07,7,17.84,0.579,0.892,0,3,2379,0
32.28,15,59.5,0.504,0.426,0,2,1883,0
58.83,6,6.41,0.296,0.648,1,8,2770,0
294.89,23,39.43,0.976,0.464,1,7,787,0
25.72,20,0.06,0.627,0.385,0,9,163,1
124.12,19,35.18,0.794,0.788,1,6,254,0
93.69,1,5.29,0.366,0.619,0,3,2684,0
23.81,15,60.17,0.752,0.871,0,4,1342,0
12.67,8,2.52,0.373,0.452,0,2,1955,0
63.85,9,27.06,0.368,0.673,0,2,801,0
34.23,5,15.31,0.957,0.109,0,3,2062,1
11.1,21,35.08,0.132,0.347,0,1,1224,0
101.16,10,23.87,0.343,0.646,0,10,2757,0
89.9,9,37.69,0.898,0.306,0,4,2013,0
4.95,4,19.6,0.456,0.166,0,9,1198,1
7.23,21,71.19,0.161,0.117,0,10,548,1
28.82,22,1.59,0.317,0.344,0,9,695,0
41.96,20,55.0,0.474,0.29,0,10,2761,1
101.65,14,18.61,0.112,0.479,1,9,508,1
14.86,14,19.9,0.326,0.608,0,9,939,0
59.4,2,34.79,0.445,0.672,1,9,1645,1
18.67,1,107.59,0.361,0.148,0,6,1611,1
22.55,14,93.32,0.088,0.728,0,7,1842,0
12.52,4,81.22,0.598,0.144,0,9,1403,1
13.25,8,24.09,0.556,0.71,0,3,846,0
24.87,1,77.87,0.302,0.585,0,8,949,1
32.6,9,24.29,0.492,0.688,0,2,1165,0
24.83,13,91.24,0.628,0.476,0,2,1558,0
74.39,5,39.22,0.146,0.461,0,6,698,1
20.98,11,2.25,0.292,0.639,1,4,2602,0
60.32,21,72.4,0.271,0.698,0,9,2405,0
20.05,9,21.01,0.485,0.34,0,2,922,0
22.17,17,42.77,0.831,0.526,0,9,2906,0
12.89,2,5.58,0.131,0.017,0,6,599,0
150.27,10,8.5,0.305,0.744,1,3,2873,0
23.2,4,178.61,0.425,0.763,1,1,2013,0
88.09,1,28.49,0.909,0.043,0,1,425,0
79.12,6,9.19,0.352,0.091,0,5,2404,0
13.58,23,42.71,0.505,0.068,0,1,2196,0
19.56,17,0.2,0.725,0.924,0,8,1531,0
8.97,3,8.98,0.355,0.38,0,4,1699,1
133.65,17,57.63,0.082,0.494,0,8,2489,0
203.65,7,36.33,0.291,0.855,0,2,1978,0
79.4,12,25.94,0.659,0.085,1,7,2876,0
104.35,19,83.61,0.404,0.233,0,8,1170,0
95.05,20,129.09,0.356,0.667,0,8,2124,1
56.72,8,30.24,0.231,0.942,1,1,309,0
45.91,9,43.77,0.096,0.077,0,8,1938,1
58.19,8,35.18,0.809,0.541,1,1,1792,0
13.33,12,26.3,0.036,0.177,0,5,2922,0
31.59,12,30.08,0.109,0.675,0,9,2373,0
40.76,1,22.35,0.495,0.971,0,6,1195,0
77.83,23,39.46,0.765,0.625,0,7,1443,0
31.94,7,12.8,0.648,0.593,0,2,1278,0
12.89,1,27.8,0.863,0.568,0,5,113,0
27.32,18,4.63,0.488,0.691,0,8,2089,0
49.05,9,20.32,0.436,0.497,0,2,2224,0
22.48,18,23.14,0.226,0.743,1,10,418,0
17.08,16,29.02,0.21,0.796,0,5,2097,0
29.59,6,24.07,0.251,0.515,0,9,769,0
53.8,5,38.7,0.213,0.962,0,8,1127,0
41.42,13,122.75,0.727,0.06,0,8,635,1
169.46,13,23.76,0.86,0.911,0,7,1123,0
48.74,19,12.12,0.238,0.15,1,5,1931,0
126.41,1,10.15,0.273,0.029,0,5,2727,0
45.59,23,29.94,0.02,0.86,1,10,1250,0
98.01,11,50.12,0.886,0.397,0,3,996,1
44.13,16,13.05,0.885,0.238,1,6,1378,0
217.4,23,12.11,0.423,0.144,0,5,1830,0
43.06,3,17.12,0.424,0.683,0,3,1516,0
27.69,20,153.24,0.606,0.841,0,1,2859,0
51.16,12,16.65,0.958,0.363,0,2,2220,0
85.87,12,118.09,0.918,0.301,0,4,1248,1
179.31,20,23.46,0.034,0.866,0,8,1959,0
92.95,13,94.21,0.82,0.824,0,9,301,1
81.3,23,17.8,0.695,0.762,0,3,2611,0
19.5,18,3.86,0.158,0.516,0,3,2463,0
68.51,15,93.04,0.134,0.173,0,6,1184,1
31.42,12,130.32,0.884,0.224,0,9,2680,1
23.71,14,9.94,0.701,0.169,0,7,2489,1
14.18,18,5.62,0.719,0.435,0,8,2789,0
22.11,8,15.28,0.494,0.13,0,10,912,0
13.73,13,8.95,0.792,0.029,0,4,2560,0
15.18,20,27.58,0.01,0.133,0,7,2843,0
27.26,19,13.32,0.095,0.059,0,4,1958,0
14.23,9,170.79,0.671,0.132,0,1,2407,1
14.17,10,94.63,0.132,0.317,0,3,1096,1
73.01,8,32.75,0.436,0.165,0,8,649,0
199.74,14,2.46,0.149,0.23,1,5,699,0
17.83,15,27.54,0.112,0.72,1,6,413,0
5.43,23,31.98,0.273,0.891,0,10,46,0
43.68,2,12.72,0.498,0.094,0,5,2820,0
15.18,3,81.62,0.154,0.081,0,8,1889,0
13.69,10,157.45,0.656,0.951,0,10,559,1
27.85,2,35.65,0.602,0.093,0,4,1663,1
67.61,12,15.09,0.753,0.654,1,8,1800,0
46.32,3,80.28,0.513,0.49,0,8,1129,0
23.09,11,42.82,0.434,0.426,1,6,1928,0
77.61,15,33.72,0.647,0.084,0,2,1986,0
24.84,13,15.76,0.048,0.077,1,2,2121,0
6.4,18,75.41,0.355,0.586,0,1,496,0
28.41,12,2.08,0.416,0.704,0,8,2775,0
72.35,5,10.67,0.078,0.982,0,2,1806,0
14.65,22,23.37,0.658,0.744,0,5,2563,0
63.45,22,50.59,0.805,0.088,1,4,488,0
52.05,0,10.56,0.649,0.65,0,9,811,1
58.07,13,0.99,0.166,0.152,0,8,1961,1
33.21,9,37.92,0.834,0.051,1,7,1732,0
86.09,17,312.05,0.037,0.4,0,10,2809,0
73.55,1,33.81,0.422,0.316,1,7,1968,1
60.68,14,53.81,0.021,0.288,0,6,1824,0
20.3,22,48.15,0.131,0.293,0,7,2787,0
24.87,5,43.76,0.282,0.749,0,3,739,0
43.45,13,128.95,0.494,0.235,0,1,1499,0
28.57,16,1.46,0.064,0.431,0,2,2331,0
21.43,11,66.01,0.77,0.557,0,9,2505,0
30.97,3,165.39,0.782,0.61,0,2,2333,1
7.73,6,108.85,0.157,0.292,0,9,2071,0
6.99,10,76.96,0.123,0.202,0,1,1034,0
34.68,5,4.01,0.372,0.755,0,4,650,0
44.84,4,72.82,0.413,0.409,0,9,2824,1
111.3,20,7.36,0.575,0.978,0,9,1241,0
24.19,8,103.71,0.61,0.147,0,4,2259,0
49.85,11,98.39,0.782,0.405,0,5,375,1
15.21,23,95.37,0.52,0.541,0,9,2290,1
19.34,0,1.27,0.797,0.593,0,5,1761,0
22.27,11,5.95,0.757,0.941,0,10,51,0
171.52,17,83.75,0.234,0.299,0,10,2784,1
18.55,3,17.88,0.582,0.823,0,2,630,0
34.38,11,50.83,0.403,0.559,0,5,2423,0
29.98,15,59.21,0.417,0.163,0,8,2942,0
148.7,16,5.65,0.213,0.473,0,9,1542,0
14.86,9,1.85,0.153,0.371,0,5,1234,0
60.04,18,24.65,0.937,0.305,0,3,2032,1
39.42,1,24.32,0.573,0.566,0,7,1976,0
64.14,4,31.62,0.461,0.45,0,6,395,0
54.94,7,103.73,0.339,0.046,0,8,1166,0
226.46,18,44.75,0.772,0.309,0,9,378,1
55.1,1,141.9,0.522,0.751,0,1,522,0
125.81,8,69.54,0.245,0.706,0,8,376,0
47.49,1,30.43,0.934,0.34,0,1,2192,0
24.53,3,35.12,0.285,0.183,0,3,1286,0
48.27,10,9.01,0.713,0.298,1,3,1720,0
14.27,7,30.56,0.752,0.385,1,1,1333,0
28.14,13,45.17,0.914,0.019,0,10,2795,1
110.0,4,16.35,0.407,0.084,0,4,613,1
40.24,17,27.05,0.001,0.465,0,5,2704,0
34.31,21,21.52,0.351,0.632,0,9,1182,1
81.31,9,4.23,0.698,0.83,0,5,1799,0
37.92,21,130.85,0.635,0.98,0,5,1037,0
26.32,19,17.92,0.914,0.134,0,10,1981,1
47.85,15,64.68,0.538,0.787,0,2,2236,1
159.91,21,5.93,0.972,0.376,0,7,755,0
15.35,6,26.46,0.222,0.02,0,6,814,1
46.4,22,11.25,0.98,0.967,1,8,2913,0
21.59,20,22.69,0.87,0.569,0,9,823,0
49.48,18,8.69,0.588,0.746,1,10,963,0
57.97,21,1.05,0.97,0.678,0,9,1889,1
26.44,20,2.4,0.939,0.433,0,5,528,0
33.91,1,96.86,0.225,0.278,0,8,1325,1
22.53,18,74.19,0.99,0.226,0,2,1053,1
28.06,20,4.58,0.48,0.808,0,6,1055,0
14.36,1,77.58,0.52,0.237,1,10,2567,1
12.61,3,4.02,0.061,0.033,0,2,552,1
48.63,3,50.93,0.559,0.295,0,2,2558,0
13.85,21,44.02,0.453,0.464,0,10,2566,1
72.15,0,27.24,0.328,0.192,1,10,2951,1
61.77,18,6.06,0.509,0.355,0,10,1851,1
9.91,16,144.56,0.754,0.311,0,3,633,0
45.27,0,32.81,0.658,0.145,0,9,253,1
21.0,6,69.23,0.342,0.668,0,8,2486,0
119.46,10,43.08,0.419,0.162,0,1,2061,0
12.86,7,29.49,0.768,0.815,0,7,870,0
12.03,17,5.51,0.291,0.194,0,6,209,0
19.83,7,97.48,0.719,0.34,0,3,832,1
15.95,3,18.59,0.21,0.456,0,6,2737,1
44.49,19,96.04,0.878,0.065,1,3,806,1
27.55,19,25.26,0.636,0.921,0,10,804,0
25.73,7,2.46,0.796,0.873,0,10,2032,1
11.55,21,42.94,0.167,0.388,0,9,1562,0
33.89,11,33.54,0.483,0.956,0,10,1672,0
122.72,6,11.15,0.203,0.863,0,5,1770,0
183.74,11,13.22,0.085,0.752,0,9,1470,0
9.28,10,24.99,0.468,0.409,0,6,1148,0
19.89,20,3.55,0.901,0.295,0,9,2666,1
23.99,3,3.33,0.038,0.2,0,6,1054,1
156.66,8,9.52,0.604,0.138,0,9,1099,1
7.06,12,131.19,0.822,0.758,1,9,641,0
8.71,6,28.95,0.516,0.786,0,8,1425,0
26.16,22,24.33,0.439,0.853,1,3,2395,0
12.41,15,74.83,0.834,0.34,0,7,2858,0
28.23,1,114.88,0.154,0.953,0,10,2519,0
28.3,12,2.96,0.386,0.475,0,8,2647,0
39.63,22,41.61,0.027,0.199,0,7,1192,1
19.29,14,2.66,0.519,0.172,0,7,1631,1
10.76,15,61.17,0.389,0.904,0,4,1298,0
65.5,19,38.51,0.31,0.203,0,8,1158,1
133.22,12,41.78,0.247,0.329,0,8,1914,0
507.94,11,54.23,0.712,0.297,0,3,1730,1
18.36,5,53.96,0.096,0.699,1,3,1151,0
43.17,2,53.89,0.722,0.217,0,9,526,0
65.15,14,8.11,0.207,0.045,1,8,1591,1
30.5,1,0.49,0.115,0.917,0,8,2015,0
63.68,15,77.27,0.842,0.171,1,2,755,1
39.76,2,50.08,0.011,0.273,0,3,917,0
124.5,14,53.69,0.837,0.812,0,2,1629,0
29.87,1,66.61,0.767,0.929,0,4,849,1
27.28,21,2.94,0.959,0.097,0,3,2995,1
31.89,10,17.53,0.627,0.625,0,7,1782,1
19.13,5,0.68,0.654,0.012,0,4,300,0
15.5,1,3.14,0.219,0.302,0,2,2948,0
89.01,22,6.42,0.175,0.762,0,8,306,0
53.59,12,32.2,0.742,0.503,0,1,982,1
56.32,7,60.26,0.757,0.62,1,6,2072,1
19.33,1,12.24,0.725,0.989,0,6,579,1
87.73,16,70.61,0.415,0.813,0,4,1386,0
155.6,7,42.15,0.381,0.322,0,1,294,0
16.84,20,217.34,0.938,0.126,0,9,867,1
13.63,7,24.83,0.606,0.303,0,4,1143,0
20.89,11,22.86,0.168,0.441,0,7,668,0
11.19,9,40.69,0.153,0.727,0,8,1282,0
23.06,2,18.24,0.715,0.196,0,1,82,0
62.6,12,116.98,0.94,0.97,0,8,1290,0
45.5,1,220.01,0.124,0.932,0,7,1075,0
64.27,22,30.18,0.688,0.696,0,7,1040,1
66.03,22,49.3,0.148,0.605,0,3,1071,0
51.35,5,0.56,0.771,0.644,0,7,2922,0
123.28,6,93.94,0.166,0.427,0,9,2213,0
28.59,13,62.83,0.924,0.869,1,10,1440,0
23.9,23,22.84,0.308,0.987,0,1,426,0
66.86,20,15.31,0.431,0.176,0,3,841,0
36.76,18,75.78,0.186,0.059,0,4,1092,0
96.44,19,5.2,0.636,0.08,1,2,1163,1
33.44,0,2.83,0.752,0.007,0,1,426,1
72.35,16,195.07,0.761,0.932,0,6,2505,0
6.58,10,76.38,0.941,0.665,0,1,1488,0
90.31,4,1.17,0.123,0.531,0,4,1539,0
294.73,16,23.98,0.188,0.986,0,6,98,0
106.45,7,42.0,0.4,0.613,1,7,1980,0
59.37,6,56.01,0.87,0.876,0,9,160,1
68.0,21,252.03,0.987,0.467,0,2,2004,0
22.66,21,54.17,0.105,0.993,1,6,1600,0
21.13,15,136.18,0.671,0.665,0,8,400,0
26.73,18,65.42,0.601,0.644,0,7,2708,0
68.54,7,11.39,0.116,0.088,1,10,800,0
15.1,10,138.63,0.577,0.002,1,9,807,0
102.36,11,71.87,0.934,0.126,0,10,939,1
8.5,9,81.69,0.5,0.456,0,3,2755,0
21.61,22,5.93,0.997,0.707,0,4,2057,0
62.42,22,10.64,0.733,0.81,0,1,763,0
58.74,21,109.56,0.159,0.022,0,7,2806,0
25.45,2,33.77,0.283,0.696,0,9,1642,1
10.66,1,85.31,0.71,0.458,0,3,1839,0
25.63,6,73.42,0.196,0.651,0,10,447,0
115.17,5,117.16,0.096,0.974,0,1,510,0
62.7,4,44.37,0.404,0.034,0,8,1269,0
20.29,21,48.35,0.778,0.865,0,5,2620,0
29.38,2,5.86,0.641,0.908,0,10,2376,0
33.19,3,71.17,0.181,0.484,0,7,1252,0
48.56,15,2.97,0.837,0.539,0,2,879,0
74.26,19,53.47,0.005,0.447,0,1,557,0
46.71,8,85.81,0.035,0.98,0,6,2259,0
19.17,4,38.72,0.695,0.523,0,6,2512,0
22.88,1,12.18,0.188,0.3,0,3,2496,0
44.05,23,43.82,0.074,0.255,0,3,1668,0
11.4,8,241.78,0.697,0.193,0,9,2507,1
72.67,13,21.43,0.964,0.247,0,9,480,0
29.88,2,20.28,0.334,0.273,0,4,1150,1
30.03,3,8.7,0.728,0.307,0,8,421,1
321.06,17,14.23,0.099,0.048,0,7,770,1
41.02,12,29.16,0.128,0.009,0,3,2723,1
18.77,1,112.79,0.639,0.37,0,10,1743,1
87.74,8,137.23,0.521,0.718,0,4,1280,0
15.37,10,83.97,0.635,0.077,0,2,706,0
15.67,15,74.34,0.011,0.948,0,3,1994,0
84.37,17,53.86,0.405,0.616,0,1,2955,0
39.5,23,48.7,0.92,0.999,0,10,203,0
117.78,7,8.65,0.367,0.133,0,1,1761,0
17.53,17,85.6,0.858,0.29,0,5,902,1
50.17,9,119.1,0.959,0.516,0,8,2560,0
33.7,3,0.23,0.89,0.186,0,2,1794,0
10.52,4,23.8,0.913,0.007,0,5,956,1
27.43,5,34.6,0.269,0.989,0,8,692,1
16.55,4,22.58,0.744,0.901,0,4,1993,0
35.46,21,56.38,0.325,0.764,0,9,1622,1
15.94,0,65.63,0.237,0.678,0,10,62,1
20.14,13,12.81,0.152,0.511,0,2,1109,0
4.69,6,28.9,0.783,0.103,0,10,772,1
147.59,4,11.73,0.132,0.038,0,3,1776,1
25.35,22,45.15,0.231,0.336,0,9,1779,0
24.77,8,128.91,0.712,0.247,0,3,197,1
51.67,9,28.74,0.908,0.101,0,8,1519,1
6.61,21,36.11,0.862,0.331,0,6,2442,0
21.43,6,39.5,0.087,0.106,0,10,522,1
64.94,14,116.86,0.075,0.547,0,8,857,0
20.51,13,35.98,0.253,0.877,0,9,1452,0
28.06,13,3.15,0.419,0.931,0,1,713,0
50.87,1,140.36,0.061,0.972,0,7,2057,0
5.17,12,37.2,0.39,0.607,0,1,685,0
41.91,16,27.35,0.708,0.525,0,4,1243,0
40.11,1,34.32,0.292,0.64,0,5,574,0
119.72,7,205.19,0.21,0.116,0,10,1541,1
24.6,19,15.72,0.985,0.626,1,6,928,0
23.76,0,34.69,0.979,0.778,0,2,2989,0
22.26,20,45.27,0.551,0.817,0,5,865,0
224.98,4,26.58,0.73,0.434,1,8,413,1
26.55,5,9.42,0.491,0.729,0,1,1300,0
16.85,19,9.36,0.144,0.426,0,7,440,0
30.26,0,64.87,0.644,0.044,0,2,1126,1
44.18,0,142.25,0.106,0.736,0,2,858,1
71.11,15,7.55,0.056,0.692,0,2,116,0
16.06,16,97.9,0.415,0.001,0,4,1779,0
27.11,21,21.86,0.884,0.823,1,3,481,0
92.46,2,43.03,0.118,0.923,0,1,2506,0
31.3,5,51.19,0.15,0.667,0,5,1456,0
18.79,11,121.56,0.811,0.711,1,1,638,0
19.99,14,57.5,0.786,0.478,1,10,1780,0
25.66,4,9.03,0.385,0.319,0,7,2494,0
10.73,20,114.57,0.383,0.549,0,8,2211,0
23.82,22,24.66,0.578,0.693,0,2,993,0
24.99,4,114.17,0.06,0.349,0,3,1237,0
108.85,13,12.5,0.828,0.056,1,3,1576,0
60.17,1,54.39,0.663,0.074,0,3,153,1
18.3,0,37.89,0.814,0.15,0,3,2190,0
22.27,10,26.41,0.645,0.013,1,1,2661,1
76.5,0,22.72,0.424,0.948,0,5,2373,0
62.16,5,14.27,0.092,0.378,0,4,1670,0
22.15,23,167.81,0.605,0.077,0,8,1312,0
29.27,1,73.18,0.647,0.195,1,2,1515,0
18.31,2,10.72,0.011,0.91,0,4,2644,0
24.2,18,37.44,0.564,0.79,1,6,411,0
12.01,9,143.45,0.5,0.314,0,6,560,0
13.59,23,31.51,0.502,0.775,1,7,1983,0
75.42,4,51.61,0.079,0.626,0,4,913,0
96.81,5,226.04,0.502,0.992,0,9,1428,1
17.14,19,87.19,0.431,0.891,0,7,1009,0
43.55,4,37.66,0.994,0.097,1,5,2271,0
36.49,5,122.35,0.161,0.28,0,2,321,1
62.45,15,172.75,0.763,0.442,0,2,2359,0
27.69,13,87.52,0.917,0.129,0,10,1314,1
62.66,8,94.45,0.991,0.043,0,1,1032,0
40.64,3,15.45,0.158,0.399,1,7,1923,0
24.18,17,103.67,0.465,0.086,0,7,1804,1
25.39,19,29.97,0.702,0.476,0,1,2262,0
32.4,10,37.79,0.988,0.774,1,6,1791,0
21.54,0,137.25,0.684,0.27,0,2,610,1
30.05,22,27.02,0.42,0.214,0,3,250,1
89.13,9,8.09,0.349,0.419,0,3,2883,0
148.45,0,37.04,0.894,0.199,0,10,2555,1
141.95,23,61.11,0.737,0.317,1,8,634,1
10.1,21,23.47,0.521,0.004,0,3,2628,0
28.32,5,41.34,0.216,0.21,0,10,88,1
27.54,9,31.38,0.868,0.699,0,8,1725,0
22.85,16,164.36,0.336,0.926,0,6,754,0
15.3,9,83.92,0.689,0.437,0,10,436,0
60.21,20,0.75,0.932,0.104,0,10,2261,1
30.13,1,49.58,0.852,0.212,0,9,1590,1
12.73,14,23.97,0.82,0.704,0,1,1564,0
37.15,21,13.82,0.838,0.795,0,4,47,0
32.25,4,70.34,0.841,0.519,0,6,1402,1
44.02,17,163.36,0.193,0.644,0,10,1787,1
38.27,3,55.71,0.126,0.118,0,7,2599,0
65.69,10,10.25,0.093,0.437,0,10,656,1
13.54,23,59.62,0.983,0.634,0,3,1011,0
22.13,7,58.31,0.807,0.378,0,1,1156,1
19.28,8,101.25,0.093,0.494,0,4,1630,1
76.31,15,143.98,0.076,0.687,0,6,2625,0
63.34,0,105.28,0.66,0.631,0,2,1434,0
34.44,17,0.23,0.522,0.255,1,10,151,1
40.84,6,90.74,0.115,0.217,0,4,371,0
87.86,15,10.0,0.092,0.708,0,8,2060,0
23.24,22,14.85,0.393,0.584,0,5,708,0
133.21,14,24.8,0.747,0.816,0,10,1598,0
42.79,20,77.0,0.449,0.889,0,5,2433,0
125.72,16,19.54,0.03,0.18,0,3,1495,0
18.9,4,68.04,0.122,0.319,1,6,905,1
42.36,19,10.73,0.217,0.561,0,2,2380,0
22.92,10,75.54,0.198,0.05,0,1,1154,0
18.89,10,40.25,0.236,0.021,1,10,49,0
5.02,12,1.7,0.533,0.528,0,1,314,0
83.29,9,14.45,0.754,0.4,0,6,2052,0
21.92,14,30.6,0.641,0.91,0,10,450,1
15.64,22,57.97,0.226,0.088,0,6,2231,0
7.17,3,2.21,0.304,0.264,0,7,1135,0
161.95,3,6.08,0.862,0.753,0,7,2638,0
11.41,18,29.25,0.49,0.281,0,8,955,1
140.46,11,36.79,0.873,0.659,0,4,2876,1
64.84,3,18.73,0.814,0.762,0,6,1307,0
162.04,3,110.47,0.219,0.364,0,10,2133,1
31.3,13,8.07,0.307,0.87,0,3,1918,0
58.58,14,9.32,0.029,0.662,0,5,514,0
12.59,4,22.76,0.431,0.334,0,6,430,1
3.39,6,15.67,0.403,0.594,0,8,2154,0
77.24,3,11.16,0.053,0.036,0,2,2209,1
12.8,22,23.33,0.393,0.22,0,5,2058,0
69.32,9,55.07,0.288,0.003,0,10,1982,0
190.08,5,17.03,0.069,0.187,0,3,82,0
32.87,8,95.89,0.171,0.76,1,6,1970,0
35.78,3,2.08,0.017,0.68,0,4,2181,0
191.42,3,16.35,0.736,0.453,0,9,1084,1
18.84,11,16.12,0.334,0.518,0,10,2013,1
99.16,0,7.2,0.41,0.22,0,6,2069,1
53.09,13,20.04,0.744,0.194,0,2,1151,0
6.21,16,8.65,0.91,0.349,0,10,1739,0
24.46,18,33.04,0.343,0.612,0,8,2351,0
66.62,0,31.1,0.686,0.466,1,5,2585,0
14.03,2,72.38,0.016,0.041,0,10,535,1
22.26,21,80.84,0.05,0.138,0,9,2755,0
247.81,22,14.2,0.996,0.197,0,2,1221,1
34.45,21,45.61,0.423,0.967,1,5,1267,0
15.73,10,73.42,0.139,0.768,0,7,2300,0
24.42,20,27.82,0.183,0.782,0,2,597,0
64.75,21,56.11,0.468,0.428,0,7,1919,1
276.11,13,4.17,0.141,0.907,0,10,2127,0
213.0,9,2.48,0.845,0.126,0,8,2151,1
144.6,10,40.6,0.822,0.565,0,1,527,0
97.11,1,54.42,0.516,0.562,0,3,945,0
46.57,20,16.76,0.989,0.006,0,4,499,1
38.03,3,28.89,0.833,0.444,1,2,1258,1
109.87,19,51.46,0.859,0.617,0,1,786,0
58.54,16,60.91,0.547,0.476,0,2,2441,0
54.69,22,72.39,0.464,0.813,1,5,1902,1
24.92,1,46.62,0.893,0.62,1,6,600,1
57.39,5,19.92,0.856,0.503,0,9,1629,1
20.92,20,57.16,0.339,0.715,0,5,2726,0
5.78,20,29.75,0.963,0.606,0,9,2728,0
16.45,18,19.25,0.617,0.404,1,3,979,1
31.71,23,71.45,0.105,0.881,0,7,1750,0
15.61,1,84.42,0.073,0.763,0,1,742,0
58.3,20,38.38,0.2,0.252,0,5,953,0
63.9,18,1.1,0.96,0.096,1,3,51,1
27.23,2,18.75,0.682,0.958,0,9,2062,1
36.67,17,86.41,0.802,0.439,0,2,2361,1
65.81,3,31.08,0.051,0.541,1,5,1059,0
7.21,5,155.05,0.075,0.575,0,10,2078,1
53.57,3,39.34,0.937,0.985,0,1,1414,0
16.32,23,18.0,0.757,0.912,1,8,328,0
46.47,1,19.1,0.071,0.416,0,2,2288,0
11.62,7,47.29,0.432,0.303,0,4,117,0
11.82,12,51.55,0.738,0.552,1,7,2878,1
70.23,3,25.93,0.897,0.983,0,4,1435,0
15.81,18,0.45,0.413,0.753,0,9,2356,1
24.86,1,6.1,0.181,0.044,0,4,1227,1
23.69,21,3.6,0.25,0.544,0,6,932,0
23.23,17,15.58,0.654,0.527,0,9,2092,1
25.04,19,29.97,0.078,0.912,0,9,974,0
39.97,23,76.27,0.142,0.978,0,8,497,1
71.67,18,21.82,0.827,0.084,0,10,1602,1
86.46,1,11.44,0.379,0.66,0,5,158,0
29.14,19,63.2,0.336,0.828,0,10,916,0
9.41,13,90.36,0.783,0.929,0,2,2296,0
99.69,17,28.02,0.573,0.568,0,3,1591,0
83.64,21,135.69,0.086,0.25,0,6,2369,0
47.65,21,12.98,0.653,0.772,1,5,2358,0
33.67,0,28.27,0.966,0.48,0,4,1703,1
88.62,19,36.08,0.953,0.44,0,5,1093,0
8.41,4,92.24,0.656,0.233,0,3,2833,0
32.22,17,56.86,0.061,0.715,0,5,96,0
81.95,22,2.06,0.235,0.109,0,2,2123,1
13.4,21,24.2,0.642,0.876,1,6,2516,0
24.37,20,21.13,0.942,0.294,1,6,212,1
